Evaluation_ID,Video_Filename,Track,Model_Name(Hidden),Prompt,Human_Subject_Consistency(1-5),Human_Background_Dynamics(1-5),Human_Prompt_Adherence(1-5),Human_Cut_Sharpness(1-5),Human_Overall_Quality(1-5),Notes_or_Amnesia_Observed(O/X)
Eval_001,Eval_001.mp4,Track M (Motion),LTX-Video,Panning slowly across A stone golem in serene forest | Zooming in rapidly on A stone golem in serene forest | Tracking low angle towards A stone golem in serene forest | Rotating 360 degrees around A stone golem in serene forest,,,,,,
Eval_002,Eval_002.mp4,Track S (Leap),ModelScope,An obsidian dragon in high-tech lab | An obsidian dragon on desert planet | An obsidian dragon in cathedral | An obsidian dragon in rainforest,,,,,,
Eval_003,Eval_003.mp4,Track S (Leap),ModelScope,A robot gardener on snow mountain | A robot gardener in cyberpunk city | A robot gardener in medieval village | A robot gardener in high-tech lab,,,,,,
Eval_004,Eval_004.mp4,Track M (Motion),SVD,Panning slowly across A crystal phoenix in clock tower | Zooming in rapidly on A crystal phoenix in clock tower | Tracking low angle towards A crystal phoenix in clock tower | Rotating 360 degrees around A crystal phoenix in clock tower,,,,,,
Eval_005,Eval_005.mp4,Track S (Leap),StoryDiffusion,A robotic ballerina underwater | A robotic ballerina in cathedral | A robotic ballerina in cyberpunk city | A robotic ballerina in rainforest,,,,,,
Eval_006,Eval_006.mp4,Track M (Motion),LTX-Video,Panning slowly across A hooded figure under waterfall | Zooming in rapidly on A hooded figure under waterfall | Tracking low angle towards A hooded figure under waterfall | Rotating 360 degrees around A hooded figure under waterfall,,,,,,
Eval_007,Eval_007.mp4,Track S (Leap),DirecT2V,A futuristic soldier in cathedral | A futuristic soldier on snow mountain | A futuristic soldier underwater | A futuristic soldier in medieval village,,,,,,
Eval_008,Eval_008.mp4,Track S (Leap),StoryDiffusion,A samurai in brass armor on desert planet | A samurai in brass armor underwater | A samurai in brass armor in space | A samurai in brass armor at a carnival,,,,,,
Eval_009,Eval_009.mp4,Track M (Motion),StoryDiffusion,Panning slowly across A stone golem in serene forest | Zooming in rapidly on A stone golem in serene forest | Tracking low angle towards A stone golem in serene forest | Rotating 360 degrees around A stone golem in serene forest,,,,,,
Eval_010,Eval_010.mp4,Track S (Leap),Mora,An obsidian dragon in high-tech lab | An obsidian dragon on desert planet | An obsidian dragon in cathedral | An obsidian dragon in cyberpunk city,,,,,,
